name,value,timestamp,date,type
SK Telecom T1,2141.2855396932005,1380297600.0,13-09-28,KR
Fnatic,1889.511964806165,1380297600.0,13-09-28,EUW
OMG,1686.70015784514,1380297600.0,13-09-28,CN
Samsung Ozone,1615.5832195350172,1380297600.0,13-09-28,KR
Gambit Gaming,1521.555332354424,1380297600.0,13-09-28,EUW
Lemondogs,1370.438690204645,1380297600.0,13-09-28,EUW
Team Vulcun,1272.649837394551,1380297600.0,13-09-28,NA
GamingGear,1160.6942030353193,1380297600.0,13-09-28,EUW
Team SoloMid,1080.756718851336,1380297600.0,13-09-28,NA
Mineski,922.1907872055808,1380297600.0,13-09-28,SEA
SK Telecom T1,2216.645505594318,1380816000.0,13-10-04,KR
Fnatic,1886.3859409229249,1380816000.0,13-10-04,EUW
OMG,1687.249340741137,1380816000.0,13-10-04,CN
Samsung Ozone,1614.1469195851164,1380816000.0,13-10-04,KR
Gambit Gaming,1522.790564154969,1380816000.0,13-10-04,EUW
Lemondogs,1371.5470884411966,1380816000.0,13-10-04,EUW
Team Vulcun,1276.019784497008,1380816000.0,13-10-04,NA
GamingGear,1162.7865510467354,1380816000.0,13-10-04,EUW
Team SoloMid,1086.7546035092612,1380816000.0,13-10-04,NA
Mineski,927.937765461036,1380816000.0,13-10-04,SEA
SK Telecom T1,2111.7705965847576,1387641600.0,13-12-22,KR
Fnatic,1841.0026004150982,1387641600.0,13-12-22,EUW
OMG,1688.8855630112412,1387641600.0,13-12-22,CN
Samsung Ozone,1595.8899154954538,1387641600.0,13-12-22,KR
Gambit Gaming,1537.6065423560017,1387641600.0,13-12-22,EUW
Lemondogs,1382.7647332335873,1387641600.0,13-12-22,EUW
Team Vulcun,1314.6835836333312,1387641600.0,13-12-22,NA
GamingGear,1192.123063561018,1387641600.0,13-12-22,EUW
Team SoloMid,1161.8803841950246,1387641600.0,13-12-22,NA
Mineski,1000.7741982955428,1387641600.0,13-12-22,SEA
SK Telecom T1,1834.6770186343063,1390060800.0,14-01-19,KR
Fnatic,1741.8784581521797,1390060800.0,14-01-19,EUW
OMG,1644.0131800562647,1390060800.0,14-01-19,CN
Gambit Gaming,1570.8744304686281,1390060800.0,14-01-19,EUW
Samsung Ozone,1546.8990355076312,1390060800.0,14-01-19,KR
Cloud 9,1492.0370688424905,1390060800.0,14-01-19,NA
Alliance,1455.7476240323938,1390060800.0,14-01-19,EUW
Lemondogs,1430.3546296561242,1390060800.0,14-01-19,EUW
Team Vulcun,1411.1940151951699,1390060800.0,14-01-19,NA
Team SoloMid,1367.3927796041385,1390060800.0,14-01-19,NA
GamingGear,1304.1815177368212,1390060800.0,14-01-19,EUW
Mineski,1213.7322598308285,1390060800.0,14-01-19,SEA
SK Telecom T1,1824.1666864523982,1391270400.0,14-02-02,KR
Fnatic,1746.010017523773,1391270400.0,14-02-02,EUW
OMG,1640.8812601598904,1391270400.0,14-02-02,CN
Gambit Gaming,1593.942052223214,1391270400.0,14-02-02,EUW
Samsung Ozone,1545.1545298086949,1391270400.0,14-02-02,KR
Dignitas,1533.2982136745825,1391270400.0,14-02-02,NA
Roccat,1523.8239487334044,1391270400.0,14-02-02,EUW
Cloud 9,1514.0688005669012,1391270400.0,14-02-02,NA
SK Gaming,1492.543459621585,1391270400.0,14-02-02,EUW
CLG,1485.2724553317566,1391270400.0,14-02-02,NA
Supa Hot Crew,1482.7579989561618,1391270400.0,14-02-02,EUW
Copenhagen Wolves,1478.7341757663683,1391270400.0,14-02-02,EUW
Evil Genuises,1475.535137625098,1391270400.0,14-02-02,NA
Curse,1471.016196793695,1391270400.0,14-02-02,NA
Millenium,1468.8534354836816,1391270400.0,14-02-02,EUW
Alliance,1459.112197461455,1391270400.0,14-02-02,EUW
Team Coast,1450.218614706363,1391270400.0,14-02-02,NA
Lemondogs,1432.364890145852,1391270400.0,14-02-02,EUW
Team SoloMid,1427.2264289145753,1391270400.0,14-02-02,NA
Team Vulcun,1414.4471393041583,1391270400.0,14-02-02,NA
GamingGear,1309.4136113064758,1391270400.0,14-02-02,EUW
Mineski,1222.3380113939077,1391270400.0,14-02-02,SEA
SK Telecom T1,1813.9318469302686,1392480000.0,14-02-16,KR
Fnatic,1675.9774630617057,1392480000.0,14-02-16,EUW
OMG,1637.73447037773,1392480000.0,14-02-16,CN
Gambit Gaming,1584.1952928227063,1392480000.0,14-02-16,EUW
Roccat,1571.986186638766,1392480000.0,14-02-16,EUW
Samsung Ozone,1543.4695828633926,1392480000.0,14-02-16,KR
Cloud 9,1534.7906658997126,1392480000.0,14-02-16,NA
SK Gaming,1510.0036905905604,1392480000.0,14-02-16,EUW
Supa Hot Crew,1509.5145152770428,1392480000.0,14-02-16,EUW
CLG,1497.7221710349506,1392480000.0,14-02-16,NA
Dignitas,1490.9930156432022,1392480000.0,14-02-16,NA
